"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.033346	0.00018664	1	0.0068309	0.05	0.040331	0.01101
0.033346	0.00018671	1	0.0068639	0.05	0.040364	0.01101
0.033346	0.0001867	1	0.0068969	0.05	0.040397	0.01101
0.033346	0.00018669	1	0.0069299	0.05	0.04043	0.01101
0.033346	0.00018667	1	0.0069629	0.05	0.040463	0.01101
0.033346	0.00018666	1	0.0069959	0.05	0.040496	0.01101
0.033346	0.00018665	1	0.0070289	0.05	0.040529	0.01101
0.033346	0.00018664	1	0.0070619	0.05	0.040562	0.01101
0.033346	0.00018662	1	0.0070949	0.05	0.040595	0.01101
0.033346	0.00018661	1	0.0071279	0.05	0.040628	0.01101
0.033346	0.0001866	1	0.0071609	0.05	0.040661	0.01101
0.033346	0.00018659	1	0.0071939	0.05	0.040694	0.01101
0.033346	0.00018658	1	0.0072269	0.05	0.040727	0.01101
0.033346	0.00018656	1	0.0072599	0.05	0.04076	0.01101
0.033346	0.00018662	1	0.0072929	0.05	0.040793	0.01101
0.033346	0.00018685	1	0.0073259	0.05	0.040826	0.01101
0.033346	0.00018684	1	0.0073589	0.05	0.040859	0.01101
0.033346	0.00018682	1	0.0073919	0.05	0.040892	0.01101
0.033346	0.00018681	1	0.0074249	0.05	0.040925	0.01101
0.033346	0.0001868	1	0.0074579	0.05	0.040958	0.01101
0.033346	0.00018678	1	0.0074909	0.05	0.040991	0.01101
0.033346	0.00018677	1	0.0075239	0.05	0.041024	0.01101
0.033346	0.00018676	1	0.0075569	0.05	0.041057	0.01101
0.033346	0.00018675	1	0.0075899	0.05	0.04109	0.01101
0.033346	0.00018673	1	0.0076229	0.05	0.041123	0.01101
0.033346	0.00018672	1	0.0076559	0.05	0.041156	0.01101
0.033346	0.00018671	1	0.0076889	0.05	0.041189	0.01101
0.033346	0.00018669	1	0.0077219	0.05	0.041222	0.01101
0.033346	0.00018668	1	0.0077549	0.05	0.041255	0.01101
0.033346	0.00018667	1	0.0077879	0.05	0.041288	0.01101
0.033346	0.00018665	1	0.0078209	0.05	0.041321	0.01101
0.033346	0.00018664	1	0.0078539	0.05	0.041354	0.01101
0.033346	0.00018663	1	0.0078869	0.05	0.041387	0.01101
0.033346	0.00018662	1	0.0079199	0.05	0.04142	0.01101
0.033346	0.00018661	1	0.0079529	0.05	0.041453	0.01101
0.033346	0.0001866	1	0.0079859	0.05	0.041486	0.01101
0.033346	0.00018658	1	0.0080189	0.05	0.041519	0.01101
0.033346	0.00018657	1	0.0080519	0.05	0.041552	0.01101
0.033346	0.00018656	1	0.0080849	0.05	0.041585	0.01101
0.033346	0.00018655	1	0.0081179	0.05	0.041618	0.01101
0.033346	0.00018654	1	0.0081509	0.05	0.041651	0.01101
0.033346	0.00018653	1	0.0081839	0.05	0.041684	0.01101
0.033346	0.00018652	1	0.0082169	0.05	0.041717	0.01101
0.033346	0.0001865	1	0.0082499	0.05	0.04175	0.01101
0.033346	0.00018649	1	0.0082829	0.05	0.041783	0.01101
0.033346	0.00018648	1	0.0083159	0.05	0.041816	0.01101
0.033346	0.00018668	1	0.0083489	0.05	0.041849	0.01101
0.033346	0.00018667	1	0.0083819	0.05	0.041882	0.01101
0.033346	0.00018665	1	0.0084148	0.05	0.041915	0.01101
0.033346	0.00018664	1	0.0084479	0.05	0.041948	0.01101
0.033346	0.00018663	1	0.0084809	0.05	0.041981	0.01101
0.033346	0.00018662	1	0.0085138	0.05	0.042014	0.01101
0.033346	0.0001866	1	0.0085468	0.05	0.042047	0.01101
0.033346	0.00018659	1	0.0085798	0.05	0.04208	0.01101
0.033346	0.00018658	1	0.0086128	0.05	0.042113	0.01101
0.033346	0.00018657	1	0.0086458	0.05	0.042146	0.01101
0.033346	0.00018655	1	0.0086788	0.05	0.042179	0.01101
0.033346	0.00018654	1	0.0087118	0.05	0.042212	0.01101
0.033346	0.00018653	1	0.0087448	0.05	0.042245	0.01101
0.033346	0.00018659	1	0.0087778	0.05	0.042278	0.01101
0.033346	0.00018658	1	0.0088108	0.05	0.042311	0.01101
0.033346	0.00018657	1	0.0088438	0.05	0.042344	0.01101
0.033346	0.00018655	1	0.0088768	0.05	0.042377	0.01101
0.033346	0.00018654	1	0.0089098	0.05	0.04241	0.01101
0.033346	0.00018653	1	0.0089428	0.05	0.042443	0.01101
0.033346	0.00018651	1	0.0089758	0.05	0.042476	0.01101
0.033346	0.0001865	1	0.0090088	0.05	0.042509	0.01101
0.033346	0.00018649	1	0.0090418	0.05	0.042542	0.01101
0.033346	0.00018648	1	0.0090748	0.05	0.042575	0.01101
0.033346	0.00018646	1	0.0091078	0.05	0.042608	0.01101
0.033346	0.00018645	1	0.0091408	0.05	0.042641	0.01101
0.033346	0.00018644	1	0.0091738	0.05	0.042674	0.01101
0.033346	0.00018643	1	0.0092068	0.05	0.042707	0.01101
0.033346	0.00018641	1	0.0092398	0.05	0.04274	0.01101
0.033346	0.0001864	1	0.0092728	0.05	0.042773	0.01101
0.033346	0.00018639	1	0.0093058	0.05	0.042806	0.01101
0.033346	0.00018637	1	0.0093388	0.05	0.042839	0.01101
0.033346	0.00018651	1	0.0093718	0.05	0.042872	0.01101
0.033346	0.0001865	1	0.0094048	0.05	0.042905	0.01101
0.033346	0.00018649	1	0.0094378	0.05	0.042938	0.01101
0.033346	0.00018647	1	0.0094708	0.05	0.042971	0.01101
0.033346	0.00018646	1	0.0095038	0.05	0.043004	0.01101
0.033346	0.00018645	1	0.0095368	0.05	0.043037	0.01101
0.033346	0.00018644	1	0.0095698	0.05	0.04307	0.01101
0.033346	0.00018643	1	0.0096028	0.05	0.043103	0.01101
0.033346	0.00018642	1	0.0096358	0.05	0.043136	0.01101
0.033346	0.0001864	1	0.0096688	0.05	0.043169	0.01101
0.033346	0.00018639	1	0.0097018	0.05	0.043202	0.01101
0.033346	0.00018638	1	0.0097348	0.05	0.043235	0.01101
0.033346	0.00018637	1	0.0097678	0.05	0.043268	0.01101
0.033346	0.00018636	1	0.0098008	0.05	0.043301	0.01101
0.033346	0.00018634	1	0.0098338	0.05	0.043334	0.01101
0.033346	0.00018633	1	0.0098668	0.05	0.043367	0.01101
0.033346	0.00018632	1	0.0098998	0.05	0.0434	0.01101
0.033346	0.00018631	1	0.0099328	0.05	0.043433	0.01101
0.033346	0.0001863	1	0.0099658	0.05	0.043466	0.01101
0.033346	0.00018629	1	0.0099988	0.05	0.043499	0.01101
0.033346	0.00018628	1	0.010032	0.05	0.043532	0.01101
0.033346	0.00018626	1	0.010065	0.05	0.043565	0.01101
0.033346	0.00018625	1	0.010098	0.05	0.043598	0.01101
0.033346	0.00018624	1	0.010131	0.05	0.043631	0.01101
0.033346	0.00018623	1	0.010164	0.05	0.043664	0.01101
0.033346	0.00018626	1	0.010197	0.05	0.043697	0.01101
0.033346	0.00018625	1	0.01023	0.05	0.04373	0.01101
0.033346	0.00018624	1	0.010263	0.05	0.043763	0.01101
0.033346	0.00018623	1	0.010296	0.05	0.043796	0.01101
0.033346	0.00018622	1	0.010329	0.05	0.043829	0.01101
0.033346	0.00018626	1	0.010362	0.05	0.043862	0.01101
0.033346	0.00018629	1	0.010395	0.05	0.043895	0.01101
0.033346	0.00018628	1	0.010428	0.05	0.043928	0.01101
0.033346	0.00018626	1	0.010461	0.05	0.043961	0.01101
0.033346	0.00018625	1	0.010494	0.05	0.043994	0.01101
0.033346	0.00018624	1	0.010527	0.05	0.044027	0.01101
0.033346	0.00018623	1	0.01056	0.05	0.04406	0.01101
0.033346	0.00018622	1	0.010593	0.05	0.044093	0.01101
0.033346	0.00018621	1	0.010626	0.05	0.044126	0.01101
0.033346	0.0001862	1	0.010659	0.05	0.044159	0.01101
0.033346	0.00018619	1	0.010692	0.05	0.044192	0.01101
0.033346	0.00018618	1	0.010725	0.05	0.044225	0.01101
0.033346	0.00018617	1	0.010758	0.05	0.044258	0.01101
0.033346	0.00018617	1	0.010791	0.05	0.044291	0.01101
0.033346	0.00018617	1	0.010824	0.05	0.044324	0.01101
0.033346	0.00018616	1	0.010857	0.05	0.044357	0.01101
0.033346	0.00018615	1	0.01089	0.05	0.04439	0.01101
0.033346	0.00018614	1	0.010923	0.05	0.044423	0.01101
0.033346	0.00018613	1	0.010956	0.05	0.044456	0.01101
0.033346	0.00018612	1	0.010989	0.05	0.044489	0.01101
0.033346	0.00018611	1	0.011022	0.05	0.044522	0.01101
0.033346	0.0001861	1	0.011055	0.05	0.044555	0.01101
0.033346	0.00018609	1	0.011088	0.05	0.044588	0.01101
0.033346	0.00018608	1	0.011121	0.05	0.044621	0.01101
0.033346	0.00018607	1	0.011154	0.05	0.044654	0.01101
0.033346	0.00018606	1	0.011187	0.05	0.044687	0.01101
0.033346	0.00018605	1	0.01122	0.05	0.04472	0.01101
0.033346	0.00018604	1	0.011253	0.05	0.044753	0.01101
0.033346	0.00018603	1	0.011286	0.05	0.044786	0.01101
0.033346	0.00018602	1	0.011319	0.05	0.044819	0.01101
0.033346	0.00018601	1	0.011352	0.05	0.044852	0.01101
0.033346	0.000186	1	0.011385	0.05	0.044885	0.01101
