"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.0073783	0.055812	1	0.0053129	0.05	0.038813	0.01101
0.0073783	0.055819	1	0.0053459	0.05	0.038846	0.01101
0.0073783	0.055826	1	0.0053789	0.05	0.038879	0.01101
0.0073782	0.055833	1	0.0054119	0.05	0.038912	0.01101
0.0073782	0.05584	1	0.0054449	0.05	0.038945	0.01101
0.0073782	0.055847	1	0.0054779	0.05	0.038978	0.01101
0.0073782	0.055854	1	0.0055109	0.05	0.039011	0.01101
0.0073781	0.055861	1	0.0055439	0.05	0.039044	0.01101
0.0073781	0.055868	1	0.0055769	0.05	0.039077	0.01101
0.0073781	0.055875	1	0.0056099	0.05	0.03911	0.01101
0.007378	0.055882	1	0.0056429	0.05	0.039143	0.01101
0.007378	0.055889	1	0.0056759	0.05	0.039176	0.01101
0.007378	0.055896	1	0.0057089	0.05	0.039209	0.01101
0.0073779	0.055903	1	0.0057419	0.05	0.039242	0.01101
0.0073779	0.055911	1	0.0057749	0.05	0.039275	0.01101
0.0073779	0.055918	1	0.0058079	0.05	0.039308	0.01101
0.0073779	0.055925	1	0.0058409	0.05	0.039341	0.01101
0.0073778	0.055932	1	0.0058739	0.05	0.039374	0.01101
0.0073778	0.05594	1	0.0059069	0.05	0.039407	0.01101
0.0073778	0.055947	1	0.0059399	0.05	0.03944	0.01101
0.0073777	0.055954	1	0.0059729	0.05	0.039473	0.01101
0.0073777	0.055962	1	0.0060059	0.05	0.039506	0.01101
0.0073777	0.055969	1	0.0060389	0.05	0.039539	0.01101
0.0073776	0.055976	1	0.0060719	0.05	0.039572	0.01101
0.0073776	0.055984	1	0.0061049	0.05	0.039605	0.01101
0.0073776	0.056006	1	0.0061379	0.05	0.039638	0.01101
0.0073775	0.055993	1	0.0061709	0.05	0.039671	0.01101
0.0073775	0.05598	1	0.0062039	0.05	0.039704	0.01101
0.0073775	0.055966	1	0.0062369	0.05	0.039737	0.01101
0.0073774	0.055953	1	0.0062699	0.05	0.03977	0.01101
0.0073774	0.05594	1	0.0063029	0.05	0.039803	0.01101
0.0073774	0.055927	1	0.0063359	0.05	0.039836	0.01101
0.0073774	0.055914	1	0.0063689	0.05	0.039869	0.01101
0.0073773	0.055901	1	0.0064019	0.05	0.039902	0.01101
0.0073773	0.055888	1	0.0064349	0.05	0.039935	0.01101
0.0073773	0.055875	1	0.0064679	0.05	0.039968	0.01101
0.0073772	0.055861	1	0.0065009	0.05	0.040001	0.01101
0.0073772	0.055848	1	0.0065339	0.05	0.040034	0.01101
0.0073772	0.055835	1	0.0065669	0.05	0.040067	0.01101
0.0073771	0.055822	1	0.0065999	0.05	0.0401	0.01101
0.0073771	0.055809	1	0.0066329	0.05	0.040133	0.01101
0.0073771	0.055796	1	0.0066659	0.05	0.040166	0.01101
0.007377	0.055783	1	0.0066989	0.05	0.040199	0.01101
0.007377	0.05577	1	0.0067319	0.05	0.040232	0.01101
0.007377	0.055757	1	0.0067649	0.05	0.040265	0.01101
0.0073769	0.055743	1	0.0067979	0.05	0.040298	0.01101
0.0073769	0.055778	1	0.0068309	0.05	0.040331	0.01101
0.0073769	0.055869	1	0.0068639	0.05	0.040364	0.01101
0.0073768	0.055851	1	0.0068969	0.05	0.040397	0.01101
0.0073768	0.055833	1	0.0069299	0.05	0.04043	0.01101
0.0073768	0.055815	1	0.0069629	0.05	0.040463	0.01101
0.0073767	0.055797	1	0.0069959	0.05	0.040496	0.01101
0.0073767	0.055779	1	0.0070289	0.05	0.040529	0.01101
0.0073767	0.055761	1	0.0070619	0.05	0.040562	0.01101
0.0073766	0.055743	1	0.0070949	0.05	0.040595	0.01101
0.0073766	0.055725	1	0.0071279	0.05	0.040628	0.01101
0.0073766	0.055708	1	0.0071609	0.05	0.040661	0.01101
0.0073765	0.05569	1	0.0071939	0.05	0.040694	0.01101
0.0073765	0.055672	1	0.0072269	0.05	0.040727	0.01101
0.0073765	0.055654	1	0.0072599	0.05	0.04076	0.01101
0.0073764	0.055595	1	0.0072929	0.05	0.040793	0.01101
0.0073764	0.055784	1	0.0073259	0.05	0.040826	0.01101
0.0073764	0.055754	1	0.0073589	0.05	0.040859	0.01101
0.0073764	0.055724	1	0.0073919	0.05	0.040892	0.01101
0.0073763	0.055694	1	0.0074249	0.05	0.040925	0.01101
0.0073763	0.055665	1	0.0074579	0.05	0.040958	0.01101
0.0073763	0.055635	1	0.0074909	0.05	0.040991	0.01101
0.0073762	0.055605	1	0.0075239	0.05	0.041024	0.01101
0.0073762	0.055576	1	0.0075569	0.05	0.041057	0.01101
0.0073762	0.055546	1	0.0075899	0.05	0.04109	0.01101
0.0073761	0.055517	1	0.0076229	0.05	0.041123	0.01101
0.0073761	0.055487	1	0.0076559	0.05	0.041156	0.01101
0.0073761	0.055458	1	0.0076889	0.05	0.041189	0.01101
0.007376	0.055428	1	0.0077219	0.05	0.041222	0.01101
0.007376	0.055399	1	0.0077549	0.05	0.041255	0.01101
0.007376	0.055369	1	0.0077879	0.05	0.041288	0.01101
0.0073759	0.05534	1	0.0078209	0.05	0.041321	0.01101
0.0073759	0.055311	1	0.0078539	0.05	0.041354	0.01101
0.0073759	0.055282	1	0.0078869	0.05	0.041387	0.01101
0.0073758	0.055253	1	0.0079199	0.05	0.04142	0.01101
0.0073758	0.055225	1	0.0079529	0.05	0.041453	0.01101
0.0073758	0.055196	1	0.0079859	0.05	0.041486	0.01101
0.0073757	0.055167	1	0.0080189	0.05	0.041519	0.01101
0.0073757	0.055138	1	0.0080519	0.05	0.041552	0.01101
0.0073757	0.055109	1	0.0080849	0.05	0.041585	0.01101
0.0073756	0.05508	1	0.0081179	0.05	0.041618	0.01101
0.0073756	0.055052	1	0.0081509	0.05	0.041651	0.01101
0.0073756	0.055023	1	0.0081839	0.05	0.041684	0.01101
0.0073755	0.054994	1	0.0082169	0.05	0.041717	0.01101
0.0073755	0.054966	1	0.0082499	0.05	0.04175	0.01101
0.0073755	0.054937	1	0.0082829	0.05	0.041783	0.01101
0.0073754	0.054909	1	0.0083159	0.05	0.041816	0.01101
0.0073754	0.055001	1	0.0083489	0.05	0.041849	0.01101
0.0073754	0.054964	1	0.0083819	0.05	0.041882	0.01101
0.0073753	0.054928	1	0.0084148	0.05	0.041915	0.01101
0.0073753	0.054892	1	0.0084479	0.05	0.041948	0.01101
0.0073753	0.054855	1	0.0084809	0.05	0.041981	0.01101
0.0073753	0.054819	1	0.0085138	0.05	0.042014	0.01101
0.0073752	0.054783	1	0.0085468	0.05	0.042047	0.01101
0.0073752	0.054747	1	0.0085798	0.05	0.04208	0.01101
0.0073752	0.054711	1	0.0086128	0.05	0.042113	0.01101
0.0073751	0.054675	1	0.0086458	0.05	0.042146	0.01101
0.0073751	0.05464	1	0.0086788	0.05	0.042179	0.01101
0.0073751	0.054604	1	0.0087118	0.05	0.042212	0.01101
0.007375	0.054568	1	0.0087448	0.05	0.042245	0.01101
0.007375	0.054581	1	0.0087778	0.05	0.042278	0.01101
0.007375	0.054545	1	0.0088108	0.05	0.042311	0.01101
0.0073749	0.054509	1	0.0088438	0.05	0.042344	0.01101
0.0073749	0.054473	1	0.0088768	0.05	0.042377	0.01101
0.0073749	0.054437	1	0.0089098	0.05	0.04241	0.01101
0.0073748	0.054401	1	0.0089428	0.05	0.042443	0.01101
0.0073748	0.054365	1	0.0089758	0.05	0.042476	0.01101
0.0073748	0.054329	1	0.0090088	0.05	0.042509	0.01101
0.0073747	0.054293	1	0.0090418	0.05	0.042542	0.01101
0.0073747	0.054258	1	0.0090748	0.05	0.042575	0.01101
0.0073747	0.054222	1	0.0091078	0.05	0.042608	0.01101
0.0073747	0.054186	1	0.0091408	0.05	0.042641	0.01101
0.0073746	0.054151	1	0.0091738	0.05	0.042674	0.01101
0.0073746	0.054116	1	0.0092068	0.05	0.042707	0.01101
0.0073746	0.05408	1	0.0092398	0.05	0.04274	0.01101
0.0073745	0.054045	1	0.0092728	0.05	0.042773	0.01101
0.0073745	0.05401	1	0.0093058	0.05	0.042806	0.01101
0.0073745	0.053975	1	0.0093388	0.05	0.042839	0.01101
0.0073744	0.054032	1	0.0093718	0.05	0.042872	0.01101
0.0073744	0.053993	1	0.0094048	0.05	0.042905	0.01101
0.0073744	0.053954	1	0.0094378	0.05	0.042938	0.01101
0.0073743	0.053916	1	0.0094708	0.05	0.042971	0.01101
0.0073743	0.053877	1	0.0095038	0.05	0.043004	0.01101
0.0073743	0.053839	1	0.0095368	0.05	0.043037	0.01101
0.0073743	0.053801	1	0.0095698	0.05	0.04307	0.01101
0.0073742	0.053763	1	0.0096028	0.05	0.043103	0.01101
0.0073742	0.053725	1	0.0096358	0.05	0.043136	0.01101
0.0073742	0.053687	1	0.0096688	0.05	0.043169	0.01101
0.0073741	0.053649	1	0.0097018	0.05	0.043202	0.01101
0.0073741	0.053611	1	0.0097348	0.05	0.043235	0.01101
0.0073741	0.053574	1	0.0097678	0.05	0.043268	0.01101
0.0073741	0.053536	1	0.0098008	0.05	0.043301	0.01101
0.007374	0.053499	1	0.0098338	0.05	0.043334	0.01101
0.007374	0.053462	1	0.0098668	0.05	0.043367	0.01101
0.007374	0.053425	1	0.0098998	0.05	0.0434	0.01101
0.0073739	0.053388	1	0.0099328	0.05	0.043433	0.01101
0.0073739	0.053351	1	0.0099658	0.05	0.043466	0.01101
0.0073739	0.053314	1	0.0099988	0.05	0.043499	0.01101
0.0073738	0.053277	1	0.010032	0.05	0.043532	0.01101
0.0073738	0.053241	1	0.010065	0.05	0.043565	0.01101
0.0073738	0.053204	1	0.010098	0.05	0.043598	0.01101
0.0073738	0.053168	1	0.010131	0.05	0.043631	0.01101
0.0073737	0.053132	1	0.010164	0.05	0.043664	0.01101
0.0073737	0.053126	1	0.010197	0.05	0.043697	0.01101
